Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.regression.GLM_logit_n10000_p20,13429713113,279539932,51380666,845931,173015040
All.regression.Lasso_n10000_p50_lam0.1,5585528525,376316208,13875981,194174,173015040
All.kernel.KernelRidgeMV_n1000_p5_RBF,90639679600,6551322296,240313021,300731,173015040
All.kernel.pairwiseSqDist_n2000_p5,38794459262,1606907040,96102747,96034,192937984
All.kernel.gramMatrixMV_n1000_p5_RBF,36894626000,1746736364,112055838,104954,192937984
All.cholesky.cholSolve_n500,5164270450,295255754,10021863,712,192937984
