Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.regression.GLM_logit_n10000_p20,10107399662,774430224,51381247,457028,125829120
All.regression.Lasso_n10000_p50_lam0.1,4921754887,302168976,13875986,194153,125829120
All.kernel.KernelRidgeMV_n1000_p5_RBF,70806676400,7076069760,240312842,282572,125829120
All.kernel.pairwiseSqDist_n2000_p5,32612857900,883718996,96103132,95880,190840832
All.kernel.gramMatrixMV_n1000_p5_RBF,27315603950,2181422276,112056900,104977,190840832
All.cholesky.cholSolve_n500,3806746100,179350762,10022200,783,190840832
