system,suite,name,time_ms,acc_main,acc_aux,extra
python,regrid,Regrid_long_jagged_PCHIP_N30,21.527,0,0,pandas+scipy PCHIP+adaptive N=30 (synth); rows=630
python,regrid,Regrid_long_jagged_PCHIP_N30_numpy,3.75029,0,0,numpy + scipy PCHIP+adaptive (no pandas); rows=630
