system,suite,name,time_ms,acc_main,acc_aux,extra
haskell,bo,Branin/BO,7599.153629,0.862917,0.397887,median over 5 seeds; star=0.397887
haskell,bo,Hartmann6/BO,7102.011098,-3.060787,-3.322370,median over 5 seeds; star=-3.32237
